id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,194,190,3,80.013764805,M.USER.APP.3,198,2752961,0
2,LINK,187,112,5,112.02945950735294,M.USER.APP.5,202,4006493,1
3,LINK,178,107,2,336.04227777419356,M.USER.APP.2,224,2621222,2
2,LINK,112,100,5,32.01082835945946,M.USER.APP.5,314.02945950735295,4006493,1
2,LINK,100,74,5,148.00918920412843,M.USER.APP.5,346.04028786681243,4006493,1
4,LINK,194,190,6,80.01325551,M.USER.APP.6,392,2651102,2
6,LINK,187,112,5,112.02945950735294,M.USER.APP.5,485,4006493,2
2,LINK,74,153,5,150.0702893508772,M.USER.APP.5,494.04947707094084,4006493,2
3,LINK,107,7,2,168.0056009017094,M.USER.APP.2,560.0422777741935,2621222,2
6,LINK,112,100,5,32.01082835945946,M.USER.APP.5,597.029459507353,4006493,2
7,LINK,178,107,2,336.04227777419356,M.USER.APP.2,611,2621222,3
6,LINK,100,74,5,148.00918920412843,M.USER.APP.5,629.0402878668124,4006493,3
8,LINK,187,112,5,112.02945950735294,M.USER.APP.5,653,4006493,3
3,LINK,7,74,2,22.009101465277777,M.USER.APP.2,728.0478786759029,2621222,3
3,LINK,74,153,2,150.0459863508772,M.USER.APP.2,750.0569801411807,2621222,3
10,LINK,187,112,5,112.02945950735294,M.USER.APP.5,757,4006493,4
8,LINK,112,100,5,32.01082835945946,M.USER.APP.5,765.029459507353,4006493,4
6,LINK,74,153,5,150.0702893508772,M.USER.APP.5,777.0494770709408,4006493,4
8,LINK,100,74,5,148.00918920412843,M.USER.APP.5,797.0402878668124,4006493,4
11,LINK,187,112,5,112.02945950735294,M.USER.APP.5,808,4006493,5
10,LINK,112,100,5,32.01082835945946,M.USER.APP.5,877.0589190147059,4006493,5
10,LINK,100,74,5,148.00918920412843,M.USER.APP.5,909.0697473741653,4006493,4
13,LINK,178,107,2,336.04227777419356,M.USER.APP.2,911,2621222,5
8,LINK,74,153,5,150.0702893508772,M.USER.APP.5,945.0494770709408,4006493,5
7,LINK,107,7,2,168.0056009017094,M.USER.APP.2,947.0422777741935,2621222,5
14,LINK,187,112,5,112.02945950735294,M.USER.APP.5,952,4006493,6
15,LINK,187,112,5,112.02945950735294,M.USER.APP.5,958,4006493,7
11,LINK,112,100,5,32.01082835945946,M.USER.APP.5,989.0883785220589,4006493,7
11,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1021.0992068815183,4006493,7
16,LINK,194,190,6,80.01325551,M.USER.APP.6,1026,2651102,8
18,LINK,199,197,8,240.01994283333335,M.USER.APP.8,1092,2752111,8
10,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1093.0586662750693,4006493,8
14,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1101.1178380294118,4006493,8
7,LINK,7,74,2,22.009101465277777,M.USER.APP.2,1115.047878675903,2621222,7
14,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1133.1286663888714,4006493,7
7,LINK,74,153,2,150.0459863508772,M.USER.APP.2,1137.0569801411807,2621222,7
15,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1213.1472975367647,4006493,6
21,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1221,2621222,7
11,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1241.0678554791978,4006493,7
15,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1245.1581258962242,4006493,7
23,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1262,4006493,8
13,LINK,107,7,2,168.0056009017094,M.USER.APP.2,1283.084555548387,2621222,8
27,LINK,194,190,6,80.01325551,M.USER.APP.6,1323,2651102,9
28,LINK,199,197,8,240.01994283333335,M.USER.APP.8,1349,2752111,9
23,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1374.0294595073528,4006493,8
14,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1389.0770446833262,4006493,8
31,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1403,2621222,9
23,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1406.0402878668124,4006493,8
33,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1432,4006493,9
13,LINK,7,74,2,22.009101465277777,M.USER.APP.2,1451.0901564500964,2621222,9
35,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1455,2621222,10
13,LINK,74,153,2,150.0459863508772,M.USER.APP.2,1473.0992579153742,2621222,10
37,LINK,199,197,8,240.01994283333335,M.USER.APP.8,1496,2752111,11
15,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1537.0862338874547,4006493,10
33,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1544.0294595073528,4006493,10
38,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1551,2621222,11
39,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1564,4006493,12
33,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1576.0402878668124,4006493,12
40,LINK,194,190,6,80.01325551,M.USER.APP.6,1580,2651102,13
41,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1580,2621222,14
21,LINK,107,7,2,168.0056009017094,M.USER.APP.2,1619.1268333225805,2621222,13
42,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1627,4006493,14
39,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1676.0294595073528,4006493,12
43,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1681,4006493,13
44,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1684,4006493,14
23,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1685.0954230915831,4006493,14
45,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1708,2621222,15
39,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1708.0402878668124,4006493,15
48,LINK,199,197,8,240.01994283333335,M.USER.APP.8,1748,2752111,16
49,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1756,2621222,17
51,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1784,2621222,18
21,LINK,7,74,2,22.009101465277777,M.USER.APP.2,1787.13243422429,2621222,18
42,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1788.0589190147057,4006493,18
21,LINK,74,153,2,150.0459863508772,M.USER.APP.2,1809.1415356895677,2621222,17
42,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1820.0697473741652,4006493,17
33,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1833.1046122957116,4006493,16
57,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1894,4006493,17
43,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1900.0883785220585,4006493,17
43,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1932.099206881518,4006493,17
59,LINK,199,197,8,240.01994283333335,M.USER.APP.8,1937,2752111,18
60,LINK,194,190,6,80.01325551,M.USER.APP.6,1951,2651102,18
31,LINK,107,7,2,168.0056009017094,M.USER.APP.2,1955.169111096774,2621222,18
39,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1981.11380149984,4006493,18
44,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2012.1178380294114,4006493,18
44,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2044.128666388871,4006493,17
31,LINK,7,74,2,22.009101465277777,M.USER.APP.2,2123.1747119984834,2621222,15
57,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2124.147297536764,4006493,15
42,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2129.1229907039688,4006493,15
31,LINK,74,153,2,150.0459863508772,M.USER.APP.2,2145.183813463761,2621222,15
57,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2156.1581258962237,4006493,15
68,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2204,4006493,16
69,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2211,4006493,17
43,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2277.132179908097,4006493,16
35,LINK,107,7,2,168.0056009017094,M.USER.APP.2,2291.2113888709673,2621222,16
74,LINK,178,107,2,336.04227777419356,M.USER.APP.2,2312,2621222,16
68,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2316.029459507353,4006493,16
68,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2348.0402878668124,4006493,16
76,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2350,4006493,17
78,LINK,199,197,8,240.01994283333335,M.USER.APP.8,2389,2752111,18
80,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2405,4006493,18
44,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2425.141369112225,4006493,18
69,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2428.0589190147057,4006493,18
35,LINK,7,74,2,22.009101465277777,M.USER.APP.2,2459.2169897726767,2621222,18
69,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2460.069747374165,4006493,18
35,LINK,74,153,2,150.0459863508772,M.USER.APP.2,2481.2260912379543,2621222,18
76,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2540.0883785220585,4006493,18
85,LINK,194,190,3,80.013764805,M.USER.APP.3,2551,2752961,18
86,LINK,194,190,6,80.01325551,M.USER.APP.6,2565,2651102,19
76,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2572.099206881518,4006493,19
